,,Non-donation,Donation,Statistics
Price of a house,18200.0,19 (95.00%),1 (5.00%),
Price of a house,18250.0,1 (50.00%),1 (50.00%),
Price of a house,18300.0,14 (73.68%),5 (26.32%),
Price of a house,18350.0,2 (50.00%),2 (50.00%),
Price of a house,18500.0,299 (92.86%),23 (7.14%),
Price of a house,18700.0,20 (90.91%),2 (9.09%),
Price of a house,18800.0,13 (92.86%),1 (7.14%),
Price of a house,19000.0,1612 (91.80%),144 (8.20%),
Price of a house,19500.0,130 (86.67%),20 (13.33%),
Price of a house,19600.0,9 (90.00%),1 (10.00%),
Price of a house,19700.0,1 (50.00%),1 (50.00%),
Price of a house,19900.0,13 (65.00%),7 (35.00%),
Price of a house,20000.0,8224 (93.59%),563 (6.41%),
Price of a house,20400.0,12 (80.00%),3 (20.00%),
Price of a house,20500.0,58 (80.56%),14 (19.44%),
Price of a house,20600.0,14 (87.50%),2 (12.50%),
Price of a house,20700.0,9 (90.00%),1 (10.00%),
Price of a house,20800.0,19 (95.00%),1 (5.00%),
Price of a house,21000.0,1366 (90.05%),151 (9.95%),
Price of a house,21150.0,5 (83.33%),1 (16.67%),
Price of a house,21200.0,9 (90.00%),1 (10.00%),
Price of a house,21300.0,3 (75.00%),1 (25.00%),
Price of a house,21500.0,88 (81.48%),20 (18.52%),
Price of a house,21600.0,20 (95.24%),1 (4.76%),
Price of a house,21700.0,22 (95.65%),1 (4.35%),
Price of a house,21900.0,26 (96.30%),1 (3.70%),
Price of a house,22000.0,1999 (90.95%),199 (9.05%),
Price of a house,22200.0,10 (90.91%),1 (9.09%),
Price of a house,22400.0,7 (87.50%),1 (12.50%),
Price of a house,22500.0,125 (96.90%),4 (3.10%),
Price of a house,22900.0,1 (50.00%),1 (50.00%),
Price of a house,23000.0,2369 (92.04%),205 (7.96%),
Price of a house,23100.0,13 (92.86%),1 (7.14%),
Price of a house,23200.0,13 (92.86%),1 (7.14%),
Price of a house,23400.0,9 (90.00%),1 (10.00%),
Price of a house,23500.0,119 (94.44%),7 (5.56%),
Price of a house,23720.0,2 (50.00%),2 (50.00%),
Price of a house,24000.0,1647 (91.25%),158 (8.75%),
Price of a house,24300.0,4 (80.00%),1 (20.00%),
Price of a house,24500.0,126 (91.30%),12 (8.70%),
Price of a house,25000.0,4842 (91.08%),474 (8.92%),
Price of a house,25200.0,10 (71.43%),4 (28.57%),
Price of a house,25500.0,62 (87.32%),9 (12.68%),
Price of a house,25600.0,14 (93.33%),1 (6.67%),
Price of a house,25700.0,7 (77.78%),2 (22.22%),
Price of a house,26000.0,1276 (90.88%),128 (9.12%),
Price of a house,26400.0,3 (60.00%),2 (40.00%),
Price of a house,26500.0,105 (92.92%),8 (7.08%),
Price of a house,26700.0,2 (50.00%),2 (50.00%),
Price of a house,27000.0,1581 (91.71%),143 (8.29%),
Price of a house,27100.0,3 (75.00%),1 (25.00%),
Price of a house,27500.0,91 (95.79%),4 (4.21%),
Price of a house,27700.0,9 (90.00%),1 (10.00%),
Price of a house,27800.0,10 (90.91%),1 (9.09%),
Price of a house,28000.0,1649 (88.75%),209 (11.25%),
Price of a house,28500.0,79 (91.86%),7 (8.14%),
Price of a house,28800.0,14 (93.33%),1 (6.67%),
Price of a house,29000.0,561 (88.77%),71 (11.23%),
Price of a house,29100.0,2 (66.67%),1 (33.33%),
Price of a house,29500.0,52 (91.23%),5 (8.77%),
Price of a house,29700.0,3 (75.00%),1 (25.00%),
Price of a house,29800.0,21 (84.00%),4 (16.00%),
Price of a house,30000.0,5454 (91.43%),511 (8.57%),
Price of a house,30500.0,15 (78.95%),4 (21.05%),
Price of a house,31000.0,356 (84.16%),67 (15.84%),
Price of a house,31200.0,4 (80.00%),1 (20.00%),
Price of a house,31500.0,29 (85.29%),5 (14.71%),
Price of a house,31700.0,4 (66.67%),2 (33.33%),
Price of a house,31900.0,1 (50.00%),1 (50.00%),
Price of a house,32000.0,1216 (90.95%),121 (9.05%),
Price of a house,32250.0,4 (80.00%),1 (20.00%),
Price of a house,32500.0,47 (85.45%),8 (14.55%),
Price of a house,33000.0,666 (89.76%),76 (10.24%),
Price of a house,33300.0,5 (71.43%),2 (28.57%),
Price of a house,33500.0,23 (95.83%),1 (4.17%),
Price of a house,33600.0,20 (95.24%),1 (4.76%),
Price of a house,33660.0,4 (66.67%),2 (33.33%),
Price of a house,33700.0,3 (75.00%),1 (25.00%),
Price of a house,33800.0,10 (83.33%),2 (16.67%),
Price of a house,34000.0,586 (89.74%),67 (10.26%),
Price of a house,34200.0,8 (88.89%),1 (11.11%),
Price of a house,34400.0,1 (50.00%),1 (50.00%),
Price of a house,34500.0,37 (94.87%),2 (5.13%),
Price of a house,34700.0,3 (75.00%),1 (25.00%),
Price of a house,35000.0,2904 (90.27%),313 (9.73%),
Price of a house,35500.0,44 (84.62%),8 (15.38%),
Price of a house,35658.0,3 (75.00%),1 (25.00%),
Price of a house,36000.0,541 (88.54%),70 (11.46%),
Price of a house,36100.0,3 (75.00%),1 (25.00%),
Price of a house,36500.0,25 (92.59%),2 (7.41%),
Price of a house,37000.0,528 (86.70%),81 (13.30%),
Price of a house,37500.0,35 (89.74%),4 (10.26%),
Price of a house,37700.0,5 (71.43%),2 (28.57%),
Price of a house,38000.0,899 (91.27%),86 (8.73%),
Price of a house,38500.0,44 (88.00%),6 (12.00%),
Price of a house,39000.0,211 (86.48%),33 (13.52%),
Price of a house,39500.0,15 (93.75%),1 (6.25%),
Price of a house,40000.0,3077 (90.85%),310 (9.15%),
Price of a house,40300.0,2 (66.67%),1 (33.33%),
Price of a house,40500.0,13 (86.67%),2 (13.33%),
Price of a house,40700.0,6 (85.71%),1 (14.29%),
Price of a house,41000.0,150 (91.46%),14 (8.54%),
Price of a house,41500.0,8 (66.67%),4 (33.33%),
Price of a house,41700.0,1 (50.00%),1 (50.00%),
Price of a house,42000.0,502 (88.85%),63 (11.15%),
Price of a house,42400.0,12 (92.31%),1 (7.69%),
Price of a house,42500.0,15 (71.43%),6 (28.57%),
Price of a house,42600.0,1 (50.00%),1 (50.00%),
Price of a house,43000.0,415 (86.46%),65 (13.54%),
Price of a house,43500.0,21 (95.45%),1 (4.55%),
Price of a house,43800.0,3 (75.00%),1 (25.00%),
Price of a house,44000.0,122 (91.04%),12 (8.96%),
Price of a house,44400.0,1 (25.00%),3 (75.00%),
Price of a house,44500.0,5 (62.50%),3 (37.50%),
Price of a house,45000.0,1735 (90.32%),186 (9.68%),
Price of a house,45580.0,1 (50.00%),1 (50.00%),
Price of a house,46000.0,162 (84.82%),29 (15.18%),
Price of a house,47000.0,193 (84.28%),36 (15.72%),
Price of a house,47400.0,4 (80.00%),1 (20.00%),
Price of a house,48000.0,331 (88.50%),43 (11.50%),
Price of a house,48500.0,9 (90.00%),1 (10.00%),
Price of a house,48700.0,1 (50.00%),1 (50.00%),
Price of a house,49000.0,79 (89.77%),9 (10.23%),
Price of a house,49500.0,10 (83.33%),2 (16.67%),
Price of a house,49700.0,3 (75.00%),1 (25.00%),
Price of a house,50000.0,2426 (90.56%),253 (9.44%),
Price of a house,51000.0,59 (79.73%),15 (20.27%),
Price of a house,51500.0,14 (93.33%),1 (6.67%),
Price of a house,52000.0,162 (93.64%),11 (6.36%),
Price of a house,52800.0,1 (50.00%),1 (50.00%),
Price of a house,53000.0,153 (92.73%),12 (7.27%),
Price of a house,54000.0,100 (87.72%),14 (12.28%),
Price of a house,54600.0,1 (50.00%),1 (50.00%),
Price of a house,55000.0,800 (90.29%),86 (9.71%),
Price of a house,55800.0,2 (66.67%),1 (33.33%),
Price of a house,56000.0,105 (89.74%),12 (10.26%),
Price of a house,57000.0,103 (83.74%),20 (16.26%),
Price of a house,57200.0,3 (75.00%),1 (25.00%),
Price of a house,57500.0,7 (87.50%),1 (12.50%),
Price of a house,58000.0,199 (92.56%),16 (7.44%),
Price of a house,58500.0,1 (20.00%),4 (80.00%),
Price of a house,59000.0,23 (92.00%),2 (8.00%),
Price of a house,60000.0,1972 (89.55%),230 (10.45%),
Price of a house,61500.0,3 (75.00%),1 (25.00%),
Price of a house,62000.0,124 (83.78%),24 (16.22%),
Price of a house,62500.0,18 (94.74%),1 (5.26%),
Price of a house,63000.0,93 (88.57%),12 (11.43%),
Price of a house,64000.0,30 (81.08%),7 (18.92%),
Price of a house,65000.0,830 (90.12%),91 (9.88%),
Price of a house,66000.0,19 (79.17%),5 (20.83%),
Price of a house,66700.0,1 (33.33%),2 (66.67%),
Price of a house,67000.0,49 (85.96%),8 (14.04%),
Price of a house,68000.0,129 (87.76%),18 (12.24%),
Price of a house,69000.0,20 (74.07%),7 (25.93%),
Price of a house,70000.0,1227 (87.52%),175 (12.48%),
Price of a house,72000.0,61 (84.72%),11 (15.28%),
Price of a house,73000.0,65 (92.86%),5 (7.14%),
Price of a house,73500.0,2 (66.67%),1 (33.33%),
Price of a house,73600.0,1 (50.00%),1 (50.00%),
Price of a house,74000.0,23 (95.83%),1 (4.17%),
Price of a house,75000.0,392 (85.22%),68 (14.78%),
Price of a house,76000.0,14 (82.35%),3 (17.65%),
Price of a house,77000.0,16 (80.00%),4 (20.00%),
Price of a house,77600.0,4 (80.00%),1 (20.00%),
Price of a house,78000.0,49 (80.33%),12 (19.67%),
Price of a house,79563.0,5 (83.33%),1 (16.67%),
Price of a house,80000.0,1179 (87.92%),162 (12.08%),
Price of a house,81000.0,12 (80.00%),3 (20.00%),
Price of a house,82000.0,32 (94.12%),2 (5.88%),
Price of a house,82080.0,4 (66.67%),2 (33.33%),
Price of a house,83000.0,34 (85.00%),6 (15.00%),
Price of a house,85000.0,252 (86.60%),39 (13.40%),
Price of a house,86000.0,21 (95.45%),1 (4.55%),
Price of a house,87000.0,30 (85.71%),5 (14.29%),
Price of a house,88000.0,26 (96.30%),1 (3.70%),
Price of a house,89000.0,13 (81.25%),3 (18.75%),
Price of a house,90000.0,476 (89.14%),58 (10.86%),
Price of a house,92000.0,6 (85.71%),1 (14.29%),
Price of a house,92800.0,1 (33.33%),2 (66.67%),
Price of a house,93000.0,11 (91.67%),1 (8.33%),
Price of a house,95000.0,147 (90.18%),16 (9.82%),
Price of a house,98000.0,8 (80.00%),2 (20.00%),
Price of a house,100000.0,717 (87.65%),101 (12.35%),
Price of a house,105000.0,33 (86.84%),5 (13.16%),
Price of a house,108000.0,3 (75.00%),1 (25.00%),
Price of a house,110000.0,158 (80.20%),39 (19.80%),
Price of a house,116000.0,5 (83.33%),1 (16.67%),
Price of a house,117000.0,2 (66.67%),1 (33.33%),
Price of a house,118000.0,6 (66.67%),3 (33.33%),
Price of a house,120000.0,237 (90.80%),24 (9.20%),
Price of a house,123000.0,2 (66.67%),1 (33.33%),
Price of a house,125000.0,25 (71.43%),10 (28.57%),
Price of a house,127000.0,7 (87.50%),1 (12.50%),
Price of a house,130000.0,142 (78.89%),38 (21.11%),
Price of a house,135000.0,29 (90.62%),3 (9.38%),
Price of a house,139000.0,3 (75.00%),1 (25.00%),
Price of a house,140000.0,86 (84.31%),16 (15.69%),
Price of a house,141000.0,2 (40.00%),3 (60.00%),
Price of a house,145000.0,19 (73.08%),7 (26.92%),
Price of a house,150000.0,242 (88.32%),32 (11.68%),
Price of a house,157000.0,2 (66.67%),1 (33.33%),
Price of a house,160000.0,66 (84.62%),12 (15.38%),
Price of a house,165000.0,4 (66.67%),2 (33.33%),
Price of a house,169000.0,3 (75.00%),1 (25.00%),
Price of a house,170000.0,69 (86.25%),11 (13.75%),
Price of a house,180000.0,36 (90.00%),4 (10.00%),
Price of a house,185000.0,3 (75.00%),1 (25.00%),
Price of a house,200000.0,87 (86.14%),14 (13.86%),
Price of a house,205000.0,1 (50.00%),1 (50.00%),
Price of a house,210000.0,6 (60.00%),4 (40.00%),
Price of a house,240000.0,13 (86.67%),2 (13.33%),
Price of a house,250000.0,18 (85.71%),3 (14.29%),
Price of a house,300000.0,23 (76.67%),7 (23.33%),
Price of a house,340000.0,5 (83.33%),1 (16.67%),
Price of a house,350000.0,6 (75.00%),2 (25.00%),
Price of a house,360000.0,2 (50.00%),2 (50.00%),
Price of a house,650000.0,3 (75.00%),1 (25.00%),
Price of a house,999999.0,66 (94.29%),4 (5.71%),
Price of a house,1000000.0,24691 (96.00%),1029 (4.00%),
Residential satisfaction,1.0,3476 (96.15%),139 (3.85%),"$\chi^2$=5776.11, $p$=0.00"
Residential satisfaction,2.0,21747 (94.66%),1228 (5.34%),
Residential satisfaction,3.0,50019 (94.46%),2934 (5.54%),
Residential satisfaction,4.0,117002 (92.22%),9873 (7.78%),
Residential satisfaction,5.0,9346 (87.43%),1344 (12.57%),
Residential satisfaction,9.0,1416 (97.86%),31 (2.14%),
Residential satisfaction,10.0,66039 (99.71%),195 (0.29%),
IPV,-1.0,94984 (97.75%),2191 (2.25%),"$\chi^2$=5573.52, $p$=0.00"
IPV,0.0,64212 (95.77%),2835 (4.23%),
IPV,1.0,82121 (90.45%),8667 (9.55%),
IPV,2.0,12909 (90.86%),1299 (9.14%),
IPV,3.0,4201 (92.07%),362 (7.93%),
IPV,4.0,2813 (93.55%),194 (6.45%),
IPV,9.0,7805 (97.55%),196 (2.45%),
민간의료보험 가입건수(h17_med10),0.0,95664 (97.56%),2388 (2.44%),"$\chi^2$=5460.06, $p$=0.00"
민간의료보험 가입건수(h17_med10),1.0,77631 (94.29%),4701 (5.71%),
민간의료보험 가입건수(h17_med10),2.0,39194 (91.26%),3753 (8.74%),
민간의료보험 가입건수(h17_med10),3.0,14432 (88.62%),1853 (11.38%),
민간의료보험 가입건수(h17_med10),4.0,4815 (86.41%),757 (13.59%),
민간의료보험 가입건수(h17_med10),5.0,1961 (84.97%),347 (15.03%),
민간의료보험 가입건수(h17_med10),6.0,698 (83.59%),137 (16.41%),
민간의료보험 가입건수(h17_med10),7.0,311 (81.41%),71 (18.59%),
민간의료보험 가입건수(h17_med10),8.0,154 (81.48%),35 (18.52%),
민간의료보험 가입건수(h17_med10),9.0,63 (72.41%),24 (27.59%),
민간의료보험 가입건수(h17_med10),10.0,88 (73.33%),32 (26.67%),
민간의료보험 가입건수(h17_med10),11.0,30 (88.24%),4 (11.76%),
민간의료보험 가입건수(h17_med10),12.0,18 (90.00%),2 (10.00%),
민간의료보험 가입건수(h17_med10),13.0,9 (75.00%),3 (25.00%),
민간의료보험 가입건수(h17_med10),14.0,5 (71.43%),2 (28.57%),
민간의료보험 가입건수(h17_med10),15.0,14 (93.33%),1 (6.67%),
민간의료보험 가입건수(h17_med10),20.0,2 (50.00%),2 (50.00%),
민간의료보험 가입건수(h17_med10),100.0,33919 (95.41%),1632 (4.59%),
금융자산-주식ㆍ채권(h1710_aq8),0.0,216282 (95.28%),10709 (4.72%),"$\chi^2$=5375.24, $p$=0.00"
금융자산-주식ㆍ채권(h1710_aq8),1.0,10 (90.91%),1 (9.09%),
금융자산-주식ㆍ채권(h1710_aq8),5.0,30 (96.77%),1 (3.23%),
금융자산-주식ㆍ채권(h1710_aq8),10.0,130 (97.01%),4 (2.99%),
금융자산-주식ㆍ채권(h1710_aq8),12.0,14 (93.33%),1 (6.67%),
금융자산-주식ㆍ채권(h1710_aq8),13.0,14 (93.33%),1 (6.67%),
금융자산-주식ㆍ채권(h1710_aq8),15.0,47 (95.92%),2 (4.08%),
금융자산-주식ㆍ채권(h1710_aq8),20.0,250 (95.06%),13 (4.94%),
금융자산-주식ㆍ채권(h1710_aq8),24.0,9 (90.00%),1 (10.00%),
금융자산-주식ㆍ채권(h1710_aq8),25.0,22 (91.67%),2 (8.33%),
금융자산-주식ㆍ채권(h1710_aq8),30.0,414 (95.83%),18 (4.17%),
금융자산-주식ㆍ채권(h1710_aq8),35.0,29 (96.67%),1 (3.33%),
금융자산-주식ㆍ채권(h1710_aq8),36.0,8 (88.89%),1 (11.11%),
금융자산-주식ㆍ채권(h1710_aq8),40.0,191 (96.46%),7 (3.54%),
금융자산-주식ㆍ채권(h1710_aq8),41.0,7 (87.50%),1 (12.50%),
금융자산-주식ㆍ채권(h1710_aq8),45.0,28 (96.55%),1 (3.45%),
금융자산-주식ㆍ채권(h1710_aq8),48.0,25 (96.15%),1 (3.85%),
금융자산-주식ㆍ채권(h1710_aq8),50.0,630 (95.89%),27 (4.11%),
금융자산-주식ㆍ채권(h1710_aq8),55.0,22 (91.67%),2 (8.33%),
금융자산-주식ㆍ채권(h1710_aq8),60.0,313 (92.88%),24 (7.12%),
금융자산-주식ㆍ채권(h1710_aq8),62.0,11 (78.57%),3 (21.43%),
금융자산-주식ㆍ채권(h1710_aq8),65.0,25 (96.15%),1 (3.85%),
금융자산-주식ㆍ채권(h1710_aq8),70.0,209 (91.67%),19 (8.33%),
금융자산-주식ㆍ채권(h1710_aq8),73.0,6 (85.71%),1 (14.29%),
금융자산-주식ㆍ채권(h1710_aq8),80.0,203 (95.75%),9 (4.25%),
금융자산-주식ㆍ채권(h1710_aq8),85.0,19 (82.61%),4 (17.39%),
금융자산-주식ㆍ채권(h1710_aq8),90.0,76 (92.68%),6 (7.32%),
금융자산-주식ㆍ채권(h1710_aq8),96.0,1 (50.00%),1 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),100.0,1642 (94.26%),100 (5.74%),
금융자산-주식ㆍ채권(h1710_aq8),101.0,2 (40.00%),3 (60.00%),
금융자산-주식ㆍ채권(h1710_aq8),102.0,11 (84.62%),2 (15.38%),
금융자산-주식ㆍ채권(h1710_aq8),103.0,10 (83.33%),2 (16.67%),
금융자산-주식ㆍ채권(h1710_aq8),104.0,15 (83.33%),3 (16.67%),
금융자산-주식ㆍ채권(h1710_aq8),105.0,29 (96.67%),1 (3.33%),
금융자산-주식ㆍ채권(h1710_aq8),110.0,69 (95.83%),3 (4.17%),
금융자산-주식ㆍ채권(h1710_aq8),115.0,7 (87.50%),1 (12.50%),
금융자산-주식ㆍ채권(h1710_aq8),120.0,401 (95.93%),17 (4.07%),
금융자산-주식ㆍ채권(h1710_aq8),122.0,5 (83.33%),1 (16.67%),
금융자산-주식ㆍ채권(h1710_aq8),125.0,26 (96.30%),1 (3.70%),
금융자산-주식ㆍ채권(h1710_aq8),130.0,118 (97.52%),3 (2.48%),
금융자산-주식ㆍ채권(h1710_aq8),140.0,107 (95.54%),5 (4.46%),
금융자산-주식ㆍ채권(h1710_aq8),144.0,6 (75.00%),2 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),146.0,2 (66.67%),1 (33.33%),
금융자산-주식ㆍ채권(h1710_aq8),150.0,663 (94.04%),42 (5.96%),
금융자산-주식ㆍ채권(h1710_aq8),153.0,3 (60.00%),2 (40.00%),
금융자산-주식ㆍ채권(h1710_aq8),155.0,17 (89.47%),2 (10.53%),
금융자산-주식ㆍ채권(h1710_aq8),159.0,7 (87.50%),1 (12.50%),
금융자산-주식ㆍ채권(h1710_aq8),160.0,123 (96.85%),4 (3.15%),
금융자산-주식ㆍ채권(h1710_aq8),162.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),170.0,71 (97.26%),2 (2.74%),
금융자산-주식ㆍ채권(h1710_aq8),175.0,4 (66.67%),2 (33.33%),
금융자산-주식ㆍ채권(h1710_aq8),180.0,181 (92.35%),15 (7.65%),
금융자산-주식ㆍ채권(h1710_aq8),192.0,8 (88.89%),1 (11.11%),
금융자산-주식ㆍ채권(h1710_aq8),198.0,2 (50.00%),2 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),200.0,1691 (94.00%),108 (6.00%),
금융자산-주식ㆍ채권(h1710_aq8),205.0,10 (66.67%),5 (33.33%),
금융자산-주식ㆍ채권(h1710_aq8),210.0,44 (93.62%),3 (6.38%),
금융자산-주식ㆍ채권(h1710_aq8),216.0,5 (71.43%),2 (28.57%),
금융자산-주식ㆍ채권(h1710_aq8),220.0,36 (97.30%),1 (2.70%),
금융자산-주식ㆍ채권(h1710_aq8),230.0,31 (93.94%),2 (6.06%),
금융자산-주식ㆍ채권(h1710_aq8),235.0,2 (66.67%),1 (33.33%),
금융자산-주식ㆍ채권(h1710_aq8),238.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),240.0,322 (90.96%),32 (9.04%),
금융자산-주식ㆍ채권(h1710_aq8),250.0,376 (94.24%),23 (5.76%),
금융자산-주식ㆍ채권(h1710_aq8),257.0,7 (87.50%),1 (12.50%),
금융자산-주식ㆍ채권(h1710_aq8),258.0,1 (50.00%),1 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),260.0,60 (90.91%),6 (9.09%),
금융자산-주식ㆍ채권(h1710_aq8),270.0,23 (85.19%),4 (14.81%),
금융자산-주식ㆍ채권(h1710_aq8),272.0,2 (66.67%),1 (33.33%),
금융자산-주식ㆍ채권(h1710_aq8),280.0,36 (92.31%),3 (7.69%),
금융자산-주식ㆍ채권(h1710_aq8),300.0,1446 (92.04%),125 (7.96%),
금융자산-주식ㆍ채권(h1710_aq8),305.0,10 (83.33%),2 (16.67%),
금융자산-주식ㆍ채권(h1710_aq8),311.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),317.0,5 (83.33%),1 (16.67%),
금융자산-주식ㆍ채권(h1710_aq8),320.0,27 (90.00%),3 (10.00%),
금융자산-주식ㆍ채권(h1710_aq8),330.0,25 (86.21%),4 (13.79%),
금융자산-주식ㆍ채권(h1710_aq8),331.0,2 (50.00%),2 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),340.0,41 (97.62%),1 (2.38%),
금융자산-주식ㆍ채권(h1710_aq8),345.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),350.0,168 (91.80%),15 (8.20%),
금융자산-주식ㆍ채권(h1710_aq8),352.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),353.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),357.0,1 (50.00%),1 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),360.0,295 (93.65%),20 (6.35%),
금융자산-주식ㆍ채권(h1710_aq8),370.0,28 (87.50%),4 (12.50%),
금융자산-주식ㆍ채권(h1710_aq8),375.0,7 (87.50%),1 (12.50%),
금융자산-주식ㆍ채권(h1710_aq8),380.0,42 (97.67%),1 (2.33%),
금융자산-주식ㆍ채권(h1710_aq8),384.0,13 (92.86%),1 (7.14%),
금융자산-주식ㆍ채권(h1710_aq8),390.0,17 (94.44%),1 (5.56%),
금융자산-주식ㆍ채권(h1710_aq8),395.0,1 (50.00%),1 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),398.0,2 (50.00%),2 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),400.0,643 (90.82%),65 (9.18%),
금융자산-주식ㆍ채권(h1710_aq8),402.0,2 (50.00%),2 (50.00%),
금융자산-주식ㆍ채권(h1710_aq8),403.0,1 (33.33%),2 (66.67%),
금융자산-주식ㆍ채권(h1710_aq8),408.0,7 (77.78%),2 (22.22%),
금융자산-주식ㆍ채권(h1710_aq8),420.0,54 (94.74%),3 (5.26%),
금융자산-주식ㆍ채권(h1710_aq8),432.0,8 (88.89%),1 (11.11%),
금융자산-주식ㆍ채권(h1710_aq8),440.0,15 (93.75%),1 (6.25%),
금융자산-주식ㆍ채권(h1710_aq8),450.0,152 (91.02%),15 (8.98%),
금융자산-주식ㆍ채권(h1710_aq8),455.0,3 (75.00%),1 (25.00%),
금융자산-주식ㆍ채권(h1710_aq8),460.0,21 (80.77%),5 (19.23%),
